timestamp,device_id,device_name,vibration,temperature,current,pressure,flow_rate
2026-01-01 00:00:00,pump-01,ポンプA-01,3.15,44.79,8.82,2.15,14.88
2026-01-01 00:10:00,pump-01,ポンプA-01,2.93,47.37,8.88,1.95,15.27
2026-01-01 00:20:00,pump-01,ポンプA-01,2.86,44.3,8.62,1.81,14.14
2026-01-01 00:30:00,pump-01,ポンプA-01,2.83,43.48,8.66,1.91,14.29
2026-01-01 00:40:00,pump-01,ポンプA-01,3.44,44.66,8.53,1.86,14.73
2026-01-01 00:50:00,pump-01,ポンプA-01,3.03,43.27,8.69,1.94,14.85
2026-01-01 01:00:00,pump-01,ポンプA-01,2.82,47.78,8.49,1.89,15.41
2026-01-01 01:10:00,pump-01,ポンプA-01,2.63,45.31,7.52,1.87,15.1
2026-01-01 01:20:00,pump-01,ポンプA-01,3.22,45.26,8.44,1.97,14.26
2026-01-01 01:30:00,pump-01,ポンプA-01,2.78,44.31,9.03,2.03,14.12
2026-01-01 01:40:00,pump-01,ポンプA-01,3.1,44.42,8.16,2.06,15.52
2026-01-01 01:50:00,pump-01,ポンプA-01,3.28,43.74,8.35,2.03,15.49
2026-01-01 02:00:00,pump-01,ポンプA-01,2.86,44.72,7.95,1.88,15.41
2026-01-01 02:10:00,pump-01,ポンプA-01,3.41,44.89,9.0,2.04,14.68
2026-01-01 02:20:00,pump-01,ポンプA-01,3.11,47.31,8.48,2.16,13.69
2026-01-01 02:30:00,pump-01,ポンプA-01,3.25,45.13,8.35,2.01,14.01
2026-01-01 02:40:00,pump-01,ポンプA-01,2.93,45.54,9.24,1.95,14.6
2026-01-01 02:50:00,pump-01,ポンプA-01,2.85,46.37,8.66,1.95,15.26
2026-01-01 03:00:00,pump-01,ポンプA-01,3.03,46.45,8.15,1.97,14.8
2026-01-01 03:10:00,pump-01,ポンプA-01,2.56,45.44,8.63,2.0,14.88
2026-01-01 03:20:00,pump-01,ポンプA-01,2.58,44.37,8.33,1.92,14.92
2026-01-01 03:30:00,pump-01,ポンプA-01,3.12,47.83,8.59,2.03,14.96
2026-01-01 03:40:00,pump-01,ポンプA-01,2.42,44.96,8.53,2.25,14.9
2026-01-01 03:50:00,pump-01,ポンプA-01,3.09,44.95,7.92,2.11,15.38
2026-01-01 04:00:00,pump-01,ポンプA-01,3.24,43.64,9.2,1.86,15.29
2026-01-01 04:10:00,pump-01,ポンプA-01,3.66,43.51,8.22,2.01,14.75
